Unnamed: 0,timestamp,true value,st1,st2
0,2019-08-14T20:00:00.000Z,1.0,,
1,2019-08-14T21:00:00.000Z,1.0,,
2,2019-08-14T22:00:00.000Z,1.0,,
3,2019-08-14T23:00:00.000Z,1.0,,
4,2019-08-15T00:00:00.000Z,1.0,,
5,2019-08-15T01:00:00.000Z,1.0,,
6,2019-08-15T02:00:00.000Z,1.0,,
7,2019-08-15T03:00:00.000Z,1.0,,
8,2019-08-15T04:00:00.000Z,1.0,,
9,2019-08-15T05:00:00.000Z,1.0,,
10,2019-08-15T06:00:00.000Z,1.0,1.0,
11,2019-08-15T07:00:00.000Z,1.0,1.0,
12,2019-08-15T08:00:00.000Z,1.0,1.0,
13,2019-08-15T09:00:00.000Z,1.0,1.0,
14,2019-08-15T10:00:00.000Z,1.0,1.0,
15,2019-08-15T11:00:00.000Z,1.0,1.0,
16,2019-08-15T12:00:00.000Z,1.0,1.0,
17,2019-08-15T13:00:00.000Z,1.0,1.0,
18,2019-08-15T14:00:00.000Z,1.0,1.0,
19,2019-08-15T15:00:00.000Z,1.0,1.0,
20,2019-08-15T16:00:00.000Z,1.0,1.0,
21,2019-08-15T17:00:00.000Z,1.0,1.0,
22,2019-08-15T18:00:00.000Z,1.0,1.0,
23,2019-08-15T19:00:00.000Z,1.0,1.0,
24,2019-08-15T20:00:00.000Z,1.0,1.0,
25,2019-08-15T21:00:00.000Z,1.0,1.0,
26,2019-08-15T22:00:00.000Z,1.0,1.0,
27,2019-08-15T23:00:00.000Z,1.0,1.0,
28,2019-08-16T00:00:00.000Z,1.0,1.0,
29,2019-08-16T01:00:00.000Z,1.0,1.0,
30,2019-08-16T02:00:00.000Z,1.0,1.0,
31,2019-08-16T03:00:00.000Z,1.0,1.0,
32,2019-08-16T04:00:00.000Z,1.0,1.0,
33,2019-08-16T05:00:00.000Z,1.0,1.0,
34,2019-08-16T06:00:00.000Z,1.0,1.0,
35,2019-08-16T07:00:00.000Z,1.0,1.0,
36,2019-08-16T08:00:00.000Z,1.0,1.0,
37,2019-08-16T09:00:00.000Z,1.0,1.0,
38,2019-08-16T10:00:00.000Z,1.0,1.0,
